____
From \To A     B     C     D     E     F     G     H     I     J     K     L     M     N     O     P     Q     R     S     T     U     V     W     X     Y     Z     AA    AB    AC    AD    AE    AF    AG    AH    AI    AJ    AK    AL    AM    AN    AO    AP    AQ    AR    AS    AT    AU    AV    AW    AX    AY    AZ    BA    BB    BC    BD    BE    BF    BG    BH    BI    BJ    BK    BL    BM    BN    BO    BP    BQ    BR    BS    BT    BU    BV    BW    BX    BY    BZ    CA    CB    CC    CD    CE    CF    CG    CH    CI    CJ    CK    CL    CM    CN    CO    CP    CQ    CR    CS    CT    CU    CV    
    A    0     2180  2259  7614  3040  1577  9809  4969  2295  4856  863   3102  1020  7187  745   9151  7768  2501  5432  1149  7701  9193  9396  6581  1520  37    7588  8723  3931  6515  9041  1307  978   9267  8922  5850  6742  4294  511   4433  1891  9024  6691  951   7216  9346  2077  8644  2756  5672  9565  9269  8619  2534  3118  9762  776   6153  3939  6821  4778  6596  4100  2142  3537  9072  4222  9466  8164  8084  6090  1122  9983  9192  113   6898  5701  1581  9280  6678  8917  4364  2088  6826  7649  152   7822  9835  288   9589  5679  6715  4518  5425  9478  9319  7082  1995  7803  9819  
    B    2323  0     6882  2296  5938  3936  3817  6957  738   3187  7849  8973  7857  3139  2000  5950  5424  5100  4994  5221  8441  576   3641  1265  1352  6521  3125  3714  749   1816  3739  7283  134   6219  6522  7431  977   5009  8225  3943  3535  2908  7158  8925  8960  4436  3519  6870  1876  2628  9709  1146  7055  8333  5941  527   1541  6127  3740  9033  6694  5400  1474  9389  2966  1892  5432  9276  775   8     7822  3236  583   9745  1642  6373  1456  46    4989  8464  6141  7738  3685  2988  5183  3879  2864  5995  8774  3006  3194  9409  8805  5627  3283  3720  320   2038  1354  4245  
    C    4097  264   0     3481  3902  1655  5792  491   5582  6506  9110  3098  5935  7620  4791  9658  9759  85    7850  8165  9273  7636  7620  7419  4729  9662  7816  8464  7721  5824  1413  7792  5038  9762  6320  8852  8142  2788  4465  6919  4153  1673  3855  6813  6372  2828  2973  4553  3414  8136  4007  1134  7263  7908  9506  6954  205   5100  2184  7054  735   6328  9792  1552  5487  9191  7798  8538  4394  6317  5132  1777  2982  759   4801  2583  6786  1873  799   9204  6348  5423  7291  7420  1083  7156  7801  9186  5485  1910  7736  1171  3430  7703  9019  9710  1878  4101  1454  3026  
    D    8591  30    8612  0     6010  9947  9926  9107  1877  4144  5551  6345  3182  3163  7015  649   4103  8415  8100  1498  7163  3147  5413  2403  4869  5476  869   5512  3980  8669  4168  8555  5922  9236  7736  4912  6419  6422  4898  7633  5964  3709  5211  6670  4217  288   217   8993  4664  9068  4461  890   5278  2211  8358  4125  6373  4636  7607  7392  8959  5279  9154  4729  3835  1310  2377  2091  2281  4699  4011  9942  7626  5225  1295  8676  5191  6813  996   3493  582   1229  6094  5308  7626  7162  39    7269  8771  357   7556  6442  9369  4234  2662  6907  8027  8984  6696  2291  
    E    3551  3596  2298  5068  0     5120  4057  6687  2831  7519  3683  4913  2604  3503  1039  6815  3667  7536  5166  8684  2531  9635  8332  2298  2261  7882  9533  9112  3226  3047  9124  3714  9946  9135  8546  8470  3647  613   2563  8665  3819  3086  9085  5986  5810  4666  3683  2194  5161  5381  2516  8310  767   1061  9797  3744  4849  6430  4041  7831  6847  950   3075  9678  9541  7171  8770  7043  1270  6230  8895  4052  3356  2542  3976  4436  6771  2692  7445  4354  2425  527   7492  9943  5446  9636  8223  966   5902  1480  220   6430  4220  742   4363  4797  3452  2257  616   9235  
    F    5996  8095  4018  4143  9410  0     4630  408   4623  2649  683   1691  6940  4974  9347  9964  412   9573  9958  2786  802   2740  6464  5427  5150  1445  8214  7346  3413  9930  3841  6467  2566  6288  3529  9050  3293  9347  6639  6426  8150  3448  4253  5688  4720  7311  2436  1149  7327  4777  6717  6440  9235  2807  9495  871   9935  8095  1279  4162  4772  2454  7753  70    9979  5770  6455  1180  7062  6171  1862  3193  5066  2629  1401  2603  3721  5091  200   7865  7923  8521  8673  3281  2202  8338  3450  3599  9110  8727  6544  5294  6407  4770  6856  2623  8248  4192  6987  9151  
    G    2770  235   1709  2722  167   7692  0     4246  9642  4158  8540  2152  8010  9279  3349  821   2083  3792  6784  1720  3143  1887  178   8081  4898  6401  1110  6552  2025  306   4468  8172  3540  7264  8408  3699  81    2116  2241  975   6680  2890  6615  6256  9153  6168  5660  6048  2856  8610  3458  6902  1627  9159  4012  3686  861   5565  6256  7712  4112  2012  1984  2199  4272  4517  4635  2383  5770  540   1940  9691  7991  1580  5610  8846  6017  9773  7765  6100  7731  7738  1268  9104  1501  5163  5043  4919  6768  9237  3188  5647  8902  392   8001  5963  1996  2049  3039  2906  
    H    4881  7939  6201  2556  200   5631  2747  0     9630  9181  844   9424  1080  1540  4639  5964  7689  5881  3178  793   9171  6392  2651  9303  6883  8272  5138  8738  5804  2397  9086  2319  2711  7835  3229  5000  2624  6997  6784  6983  6520  1886  5184  4850  7196  3301  6029  5150  6320  2625  82    3174  2688  6926  725   3896  990   8318  8991  3417  3045  8717  4989  8937  8599  925   333   7096  3614  545   2777  4059  1684  8383  7782  104   3234  503   1618  8781  7109  4746  2490  8640  4349  7284  7573  8221  1223  8632  5393  16    6324  4221  3124  7273  9114  6437  9221  5898  
    I    5670  709   5050  7211  7698  8283  1538  7797  0     6488  8753  4722  1178  2693  6945  2264  4144  8751  4419  6026  1909  6013  3957  7970  1837  9335  1024  8573  3147  7915  1886  4311  3211  8498  5597  8924  7172  6559  38    434   5168  427   4887  672   8258  549   9668  4910  8238  9297  5381  1304  8566  9018  6744  5625  2351  4817  3540  6459  2816  543   9363  9573  1906  5229  7008  2271  6183  9616  6440  5915  7978  9861  7110  2090  2995  3162  2495  9721  2801  1131  9855  6629  8051  5204  4084  8465  5728  4272  139   9369  737   2217  2970  4342  1821  4911  7089  3253  
    J    3478  8874  7074  9103  2204  4296  3731  3312  4200  0     6763  2471  5074  8660  3853  5051  3475  7766  1416  9107  9349  5018  3476  1183  1911  252   5528  3851  6403  1060  7320  2360  6314  5629  1795  1857  6367  6802  2649  3225  8617  1887  2032  5631  751   5810  7895  7189  8130  867   7786  9122  4121  3157  7109  1563  424   5311  3872  5445  8864  7518  7818  8895  665   2096  5414  2719  583   3395  1455  1663  7670  9059  9099  581   668   9424  3074  9132  4302  6825  6478  6944  8396  4700  5133  1368  6490  6451  658   1406  1656  244   7158  1097  3841  6125  250   5289  
